,P(cancer),P(center),P(cancer).P(center),"P(cancer,center)",P(cancer|center),P(center|cancer)
"('Lung Adenocarcinoma', 'Roswell Park')",0.1417,0.0472,0.00668824,0.0064,0.1365,0.0455
"('Lung Adenocarcinoma', 'Asterand')",0.1417,0.0665,0.00942305,0.0116,0.1746,0.0819
"('Lung Adenocarcinoma', 'Fox Chase')",0.1417,0.0082,0.00116194,0.0015,0.1817,0.0105
"('Lung Adenocarcinoma', 'Indivumed')",0.1417,0.0351,0.00497367,0.0101,0.2864,0.0709
"('Lung Adenocarcinoma', 'BLN - Baylor')",0.1417,0.0147,0.00208299,0.0056,0.3829,0.0397
"('Lung Adenocarcinoma', 'UNC')",0.1417,0.0108,0.00153036,0.0019,0.1718,0.0131
"('Lung Adenocarcinoma', 'Cureline')",0.1417,0.01,0.001417,0.0015,0.149,0.0105
"('Lung Adenocarcinoma', 'University of Pittsburgh')",0.1417,0.0743,0.01052831,0.0158,0.2121,0.1112
"('Lung Adenocarcinoma', 'International Genomics Consortium')",0.1417,0.0295,0.00418015,0.0116,0.3922,0.0816
"('Lung Adenocarcinoma', 'Prince Charles Hospital')",0.1417,0.0588,0.00833196,0.0268,0.4551,0.1889
"('Lung Adenocarcinoma', 'Christiana Healthcare')",0.1417,0.0094,0.00133198,0.0039,0.4137,0.0274
"('Lung Adenocarcinoma', 'Johns Hopkins')",0.1417,0.0983,0.01392911,0.0438,0.4453,0.3089
"('Lung Adenocarcinoma', 'University of Miami')",0.1417,0.0111,0.00157287,0.0014,0.1245,0.0098
"('Rectum Adenocarcinoma', 'Harvard')",0.0084,0.0103,8.65E-05,0.0005,0.0452,0.0555
"('Rectum Adenocarcinoma', 'Roswell Park')",0.0084,0.0472,0.00039648,0.0003,0.0064,0.0362
"('Rectum Adenocarcinoma', 'Asterand')",0.0084,0.0665,0.0005586,0.0005,0.0074,0.0582
"('Rectum Adenocarcinoma', 'Indivumed')",0.0084,0.0351,0.00029484,0.0041,0.1166,0.4872
"('Rectum Adenocarcinoma', 'Cureline')",0.0084,0.01,8.40E-05,0.0001,0.0131,0.0156
"('Rectum Adenocarcinoma', 'International Genomics Consortium')",0.0084,0.0295,0.0002478,0.0002,0.0065,0.0229
"('Rectum Adenocarcinoma', 'Christiana Healthcare')",0.0084,0.0094,7.90E-05,0.0007,0.0741,0.083
"('Rectum Adenocarcinoma', 'University of Michigan')",0.0084,0.0475,0.000399,0.0007,0.0142,0.0802
"('Rectum Adenocarcinoma', 'MSKCC')",0.0084,0.0542,0.00045528,0.0013,0.0233,0.1503
"('Esophageal Carcinoma', 'MD Anderson')",0.0129,0.0728,0.00093912,0.0001,0.0011,0.006
"('Esophageal Carcinoma', 'Asterand')",0.0129,0.0665,0.00085785,0.001,0.0153,0.0788
"('Esophageal Carcinoma', 'ILSBIO')",0.0129,0.0158,0.00020382,0.0025,0.1613,0.1976
"('Esophageal Carcinoma', 'Barretos Cancer Hospital')",0.0129,0.0107,0.00013803,0.002,0.1875,0.1555
"('Esophageal Carcinoma', 'Cureline')",0.0129,0.01,0.000129,0.0002,0.0162,0.0125
"('Esophageal Carcinoma', 'Emory University')",0.0129,0.0091,0.00011739,0.0005,0.0512,0.0361
"('Esophageal Carcinoma', 'University Health Network')",0.0129,0.0108,0.00013932,0.0017,0.1554,0.1301
"('Esophageal Carcinoma', 'University of Michigan')",0.0129,0.0475,0.00061275,0.0034,0.071,0.2614
"('Esophageal Carcinoma', 'Erasmus MC')",0.0129,0.0241,0.00031089,0.0016,0.0673,0.1256
"('Kidney Renal Papillary Cell Carcinoma', 'MD Anderson')",0.0193,0.0728,0.00140504,0.0011,0.0151,0.0571
"('Kidney Renal Papillary Cell Carcinoma', 'Roswell Park')",0.0193,0.0472,0.00091096,0.0021,0.0436,0.1065
"('Kidney Renal Papillary Cell Carcinoma', 'Asterand')",0.0193,0.0665,0.00128345,0.0009,0.0128,0.0441
"('Kidney Renal Papillary Cell Carcinoma', 'Fox Chase')",0.0193,0.0082,0.00015826,0.0007,0.0887,0.0377
"('Kidney Renal Papillary Cell Carcinoma', 'ILSBIO')",0.0193,0.0158,0.00030494,0.0004,0.0231,0.019
"('Kidney Renal Papillary Cell Carcinoma', 'BLN - Baylor')",0.0193,0.0147,0.00028371,0.0017,0.1139,0.0868
"('Kidney Renal Papillary Cell Carcinoma', 'UNC')",0.0193,0.0108,0.00020844,0.0016,0.1444,0.0808
"('Kidney Renal Papillary Cell Carcinoma', 'University of Pittsburgh')",0.0193,0.0743,0.00143399,0.0004,0.0051,0.0195
"('Kidney Renal Papillary Cell Carcinoma', 'International Genomics Consortium')",0.0193,0.0295,0.00056935,0.0008,0.027,0.0413
"('Kidney Renal Papillary Cell Carcinoma', 'University of California San Francisco')",0.0193,0.0082,0.00015826,0.0019,0.2338,0.0993
"('Kidney Renal Papillary Cell Carcinoma', 'Moffitt Cancer Center')",0.0193,0.0072,0.00013896,0.0021,0.2877,0.1073
"('Kidney Renal Papillary Cell Carcinoma', 'Christiana Healthcare')",0.0193,0.0094,0.00018142,0.0002,0.0221,0.0108
"('Kidney Renal Papillary Cell Carcinoma', 'MSKCC')",0.0193,0.0542,0.00104606,0.0056,0.1034,0.2904
"('Pancreatic Adenocarcinoma', 'Asterand')",0.0076,0.0665,0.0005054,0.0006,0.0096,0.0836
"('Pancreatic Adenocarcinoma', 'UNC')",0.0076,0.0108,8.21E-05,0.0001,0.0089,0.0127
