,Liver Hepatocellular Carcinoma,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,Uterine Carcinosarcoma,Head and Neck Squamous Cell Carcinoma,Breast Invasive Carcinoma,Kidney Chromophobe,Cholangiocarcinoma,Thyroid Carcinoma,Skin Cutaneous Melanoma,Prostate Adenocarcinoma,Testicular Germ Cell Tumors,Glioblastoma Multiforme,Pheochromocytoma and Paraganglioma,Lung Squamous Cell Carcinoma,Pancreatic Adenocarcinoma,Stomach Adenocarcinoma,Colon Adenocarcinoma,Ovarian Serous Cystadenocarcinoma,Bladder Urothelial Carcinoma,Rectum Adenocarcinoma,Adrenocortical Carcinoma,Kidney Renal Clear Cell Carcinoma,Kidney Renal Papillary Cell Carcinoma,Mesothelioma,Lung Adenocarcinoma,Brain Lower Grade Glioma,Esophageal Carcinoma,Sarcoma
University of Sydney,0,0,0,0,0,0,0,0,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barretos Cancer Hospital,0,192,0,317,0,0,0,0,0,0,253,0,0,0,0,1105,0,0,350,0,0,0,0,46,0,0,521,0
Mayo,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fox Chase,0,0,0,64,20,0,0,0,0,23,0,0,0,1041,0,0,0,0,0,0,0,258,189,0,387,0,0,152
Asterand,475,1053,0,185,1442,0,0,393,800,98,0,0,0,4771,165,3278,413,0,558,127,0,0,221,0,3016,9,264,0
University Health Network,0,0,0,0,0,0,0,1121,0,0,0,0,167,0,0,0,0,0,0,0,863,0,0,0,0,0,436,0
University of Miami,0,0,0,203,1015,0,0,184,0,0,0,61,0,1059,0,0,0,0,0,0,0,0,0,0,359,0,0,0
Walter Reed,0,0,0,0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCSF,273,0,0,0,304,0,166,0,0,0,0,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International Genomics Consortium,103,95,0,128,311,38,0,485,20,521,50,2,0,1562,185,38,64,52,116,50,0,584,207,0,3005,0,0,45
Christiana Healthcare,98,17,0,0,293,0,0,15,0,0,0,26,0,347,0,14,222,36,28,181,0,82,54,0,1010,5,0,6
MD Anderson,0,137,0,3566,283,341,0,3046,938,1611,0,2526,0,0,0,0,0,0,2498,0,0,2111,286,90,0,1334,20,0
Memorial Sloan Kettering,0,316,0,0,0,0,0,3972,0,0,0,0,0,0,0,0,0,59,1207,0,0,0,0,66,0,0,0,3740
UNC,543,0,0,379,116,0,0,0,0,0,0,0,0,100,25,44,81,0,123,0,0,495,405,0,482,9,0,0
Indivumed,0,0,0,0,1173,0,0,0,0,87,0,0,0,1669,0,317,2069,0,129,1063,0,0,0,0,2611,0,0,0
University of North Carolina,0,103,115,0,0,1411,293,246,172,40,62,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
Greater Poland Cancer Center,0,0,0,358,2850,0,0,0,375,0,0,0,0,0,0,1286,352,0,0,0,0,0,0,0,0,0,0,0
Case Western - St Joes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4281,0,0
